date,2y_par_yield,5y_par_yield,10y_par_yield,usd_vnd_central,usd_vnd_market,deposit_rate,lending_rate,us_10y_yield,us_2y_yield,dxy_trade_weighted,cpi_vn_index,cpi_yoy_pct,cpi_mom_pct,sbv_refinancing_pct,sbv_discount_pct
2006-11,,,,,,7.65,11.18,4.595238095238095,4.7404761904761905,97.51328181818181,6.7848108894,,,,
2006-12,,,,,,7.65,11.18,4.5645,4.6735,96.79507142857143,6.7848108894,,,,
2007-01,,,,,,7.68,11.18,4.7595238095238095,4.876190476190477,97.83377727272727,12.6849149882,,,,
2007-02,,,,,,7.68,11.18,4.722631578947369,4.848947368421053,97.47642499999999,12.6849149882,,,,
2007-03,,,,,,7.65,11.18,4.5645454545454545,4.573636363636364,97.01175454545455,12.6849149882,,,,
2007-04,,,,,,7.65,11.18,4.6938095238095245,4.666190476190476,95.6322,12.6849149882,,,,
2007-05,,,,,,7.65,11.18,4.746363636363636,4.766363636363637,94.72254782608697,12.6849149882,,,,
2007-06,,,,,,7.44,11.18,5.102857142857142,4.980476190476191,94.44490952380953,12.6849149882,,,,
2007-07,,,,,,7.44,11.18,5.0042857142857144,4.819047619047619,93.20591363636363,12.6849149882,,,,
2007-08,,,,,,7.44,11.18,4.674782608695652,4.3130434782608695,93.76029565217392,12.6849149882,,,,
2007-09,,,,,,7.44,11.18,4.521578947368421,4.011578947368421,92.436595,12.6849149882,,,,
2007-10,,,,,,7.44,11.18,4.527727272727272,3.967727272727273,90.40017826086957,12.6849149882,,,,
2007-11,,,,,,7.2,11.18,4.1485,3.3365,89.05299545454545,12.6849149882,,,,
2007-12,,,,,,7.2,11.18,4.0975,3.117,90.00495714285714,12.6849149882,,,,
2008-01,,,,,,7.2,11.18,3.744285714285714,2.475714285714286,89.39711739130435,20.0886788701,,,,
2008-02,,,,,,8.97,11.18,3.7375,1.973,88.6434380952381,20.0886788701,,,,
2008-03,,,,,,11.19,14.595,3.5100000000000002,1.6170000000000002,86.83986666666667,20.0886788701,,,,
2008-04,,,,,,11.52,14.265,3.675,2.0472727272727274,86.54753636363635,20.0886788701,,,,
2008-05,,,,,,13.25,16.5285714285714,3.8800000000000003,2.4457142857142857,86.82446363636363,20.0886788701,,,,
2008-06,,,,,,16.635,19.1142857142857,4.099523809523809,2.7738095238095237,87.07280476190476,20.0886788701,,,,
2008-07,,,,,,16.89,20.25,4.007727272727273,2.5731818181818182,86.45375652173914,20.0886788701,,,,
2008-08,,,,,,17.16,20.19,3.8857142857142852,2.4204761904761902,88.94499523809525,20.0886788701,,,,
2008-09,,,,,,16.92,19.86,3.6861904761904762,2.0761904761904764,91.26510909090909,20.0886788701,,,,
2008-10,,,,,,15.24,18.0,3.814090909090909,1.6122727272727273,98.04,20.0886788701,,,,
2008-11,,,,,,10.02,13.26,3.526666666666667,1.2127777777777777,100.76666,20.0886788701,,,,
2008-12,,,,,,7.77,10.98,2.4163636363636365,0.8209090909090908,99.66224782608695,20.0886788701,,,14.0,13.0
2009-01,,,,,,6.99,10.08,2.5175,0.807,100.35208421052631,6.3755015376,,,14.0,13.0
2009-02,,,,,,6.54,9.39,2.87,0.9752631578947369,102.97372631578948,6.3755015376,,,14.0,13.0
2009-03,,,,,,7.11,9.15,2.819545454545455,0.9313636363636365,103.43974545454545,6.3755015376,,,14.0,13.0
2009-04,,,,,,7.17,9.15,2.927142857142857,0.927142857142857,100.71618636363637,6.3755015376,,,9.0,7.0
2009-05,,,,,,7.32,9.6,3.293,0.9295,97.55188000000001,6.3755015376,,,9.0,7.0
2009-06,,,,,,7.5,9.96,3.7218181818181817,1.184090909090909,96.04261818181818,6.3755015376,,,9.0,7.0
2009-07,,,,,16990.3,7.62,9.96,3.5622727272727275,1.0190909090909093,95.66055909090909,6.3755015376,,,9.0,7.0
2009-08,,,,,17313.30769230769,7.95,10.26,3.587142857142857,1.1152380952380954,94.37304285714286,6.3755015376,,,9.0,7.0
2009-09,,,,,17639.96153846154,8.13,10.35,3.401904761904762,0.9561904761904761,93.66380000000001,6.3755015376,,,9.0,7.0
2009-10,,,,,17714.36,8.4,10.464,3.3876190476190478,0.949047619047619,92.2597619047619,6.3755015376,,,9.0,7.0
