date,bar_sell,ring_sell,diff_vnd,diff_pct,year
2021-06-18,56800000,52350000,4450000,8.500477554918815,2021
2021-06-19,56800000,52100000,4700000,9.021113243761997,2021
2021-06-21,56950000,52350000,4600000,8.787010506208214,2021
2021-06-22,57000000,52200000,4800000,9.195402298850574,2021
2021-06-23,57100000,52250000,4850000,9.282296650717702,2021
2021-06-24,57050000,52200000,4850000,9.291187739463602,2021
2021-06-25,57050000,52200000,4850000,9.291187739463602,2021
2021-06-26,57100000,52150000,4950000,9.491850431447748,2021
2021-06-28,57000000,52000000,5000000,9.615384615384617,2021
2021-06-29,56900000,51800000,5100000,9.845559845559846,2021
2021-06-30,56850000,51450000,5400000,10.495626822157435,2021
2021-07-01,56900000,51650000,5250000,10.164569215876089,2021
2021-07-02,57150000,51750000,5400000,10.434782608695652,2021
2021-07-03,57200000,51800000,5400000,10.424710424710424,2021
2021-07-07,57450000,52000000,5450000,10.480769230769232,2021
2021-07-08,57550000,51850000,5700000,10.99324975891996,2021
2021-07-09,57500000,51800000,5700000,11.003861003861005,2021
2021-07-10,57500000,51800000,5700000,11.003861003861005,2021
2021-07-12,57350000,51850000,5500000,10.607521697203472,2021
2021-07-13,57350000,51900000,5450000,10.500963391136802,2021
2021-07-14,57400000,51950000,5450000,10.490856592877767,2021
2021-07-15,57600000,52150000,5450000,10.450623202301054,2021
2021-07-16,57500000,52100000,5400000,10.36468330134357,2021
2021-07-17,57500000,51950000,5550000,10.68334937439846,2021
2021-07-19,57550000,51900000,5650000,10.886319845857418,2021
2021-07-20,57550000,52050000,5500000,10.566762728146013,2021
2021-07-21,57450000,51900000,5550000,10.69364161849711,2021
2021-07-22,57450000,51800000,5650000,10.907335907335908,2021
2021-07-23,57500000,51800000,5700000,11.003861003861005,2021
2021-07-24,57450000,51700000,5750000,11.121856866537717,2021
2021-07-26,57450000,51700000,5750000,11.121856866537717,2021
2021-07-27,57300000,51600000,5700000,11.046511627906977,2021
2021-07-28,57200000,51550000,5650000,10.96023278370514,2021
2021-07-29,57350000,51750000,5600000,10.821256038647343,2021
2021-07-30,57400000,51850000,5550000,10.703953712632593,2021
2021-07-31,57250000,51700000,5550000,10.735009671179883,2021
2021-08-02,57200000,51650000,5550000,10.745401742497581,2021
2021-08-03,57300000,51750000,5550000,10.72463768115942,2021
2021-08-04,57350000,51700000,5650000,10.9284332688588,2021
2021-08-05,57250000,51700000,5550000,10.735009671179883,2021
2021-08-06,57250000,51650000,5600000,10.842207163601161,2021
2021-08-07,57000000,51300000,5700000,11.11111111111111,2021
2021-08-09,56900000,51000000,5900000,11.568627450980392,2021
2021-08-10,56950000,51000000,5950000,11.666666666666666,2021
2021-08-11,56900000,50950000,5950000,11.678115799803729,2021
2021-08-12,57100000,51150000,5950000,11.632453567937437,2021
2021-08-13,57100000,51200000,5900000,11.5234375,2021
2021-08-14,57250000,51500000,5750000,11.165048543689322,2021
2021-08-16,57250000,51500000,5750000,11.165048543689322,2021
2021-08-17,57350000,51550000,5800000,11.251212415130942,2021
2021-08-18,57350000,51550000,5800000,11.251212415130942,2021
2021-08-19,57250000,51500000,5750000,11.165048543689322,2021
2021-08-20,57150000,51500000,5650000,10.970873786407767,2021
2021-08-21,57150000,51500000,5650000,10.970873786407767,2021
2021-08-23,57100000,51450000,5650000,10.981535471331389,2021
2021-09-03,57350000,51750000,5600000,10.821256038647343,2021
2021-09-04,57450000,51900000,5550000,10.69364161849711,2021
2021-09-06,57450000,51900000,5550000,10.69364161849711,2021
2021-09-07,57450000,51900000,5550000,10.69364161849711,2021
2021-09-08,57200000,51600000,5600000,10.852713178294573,2021
2021-09-09,57250000,51550000,5700000,11.057225994180406,2021
2021-09-10,57300000,51600000,5700000,11.046511627906977,2021
2021-09-11,57300000,51550000,5750000,11.154219204655675,2021
2021-09-13,57300000,51550000,5750000,11.154219204655675,2021
2021-09-14,57250000,51550000,5700000,11.057225994180406,2021
2021-09-15,57350000,51650000,5700000,11.035818005808325,2021
2021-09-16,57200000,51500000,5700000,11.067961165048544,2021
2021-09-17,56650000,51100000,5550000,10.861056751467709,2021
2021-09-18,56650000,51100000,5550000,10.861056751467709,2021
2021-09-20,56800000,51100000,5700000,11.154598825831702,2021
2021-09-21,57100000,51300000,5800000,11.306042884990253,2021
2021-09-22,57150000,51450000,5700000,11.078717201166182,2021
2021-09-23,57350000,51400000,5950000,11.575875486381323,2021
2021-09-24,57050000,51200000,5850000,11.42578125,2021
2021-09-25,57000000,51200000,5800000,11.328125,2021
2021-09-27,57000000,51300000,5700000,11.11111111111111,2021
2021-09-28,57100000,51200000,5900000,11.5234375,2021
2021-09-29,56950000,51000000,5950000,11.666666666666666,2021
2021-09-30,56850000,50800000,6050000,11.909448818897637,2021
2021-10-01,57200000,51200000,6000000,11.71875,2021
2021-10-02,57150000,51250000,5900000,11.51219512195122,2021
2021-10-04,57400000,51200000,6200000,12.109375,2021
2021-10-05,57450000,51300000,6150000,11.988304093567251,2021
2021-10-06,57450000,51150000,6300000,12.316715542521994,2021
2021-10-07,57850000,51350000,6500000,12.658227848101266,2021
2021-10-08,57850000,51350000,6500000,12.658227848101266,2021
2021-10-09,57950000,51350000,6600000,12.852969814995133,2021
2021-10-12,58050000,51400000,6650000,12.93774319066148,2021
2021-10-13,58050000,51450000,6600000,12.82798833819242,2021
2021-10-14,58000000,51750000,6250000,12.077294685990339,2021
2021-10-15,57800000,51600000,6200000,12.015503875968992,2021
2021-10-16,57700000,51450000,6250000,12.147716229348884,2021
2021-10-18,57800000,51450000,6350000,12.342079689018465,2021
2021-10-19,58000000,51600000,6400000,12.4031007751938,2021
2021-10-20,58050000,51650000,6400000,12.39109390125847,2021
2021-10-21,58050000,51700000,6350000,12.282398452611218,2021
2021-10-26,58600000,52300000,6300000,12.045889101338432,2021
2021-10-27,58700000,52100000,6600000,12.667946257197697,2021
2021-10-28,58500000,52250000,6250000,11.961722488038278,2021
2021-10-29,58500000,52250000,6250000,11.961722488038278,2021
2021-10-30,58450000,52100000,6350000,12.18809980806142,2021
2021-11-01,58300000,52150000,6150000,11.792905081495686,2021
2021-11-02,58550000,52250000,6300000,12.057416267942584,2021
2021-11-03,58600000,52050000,6550000,12.584053794428435,2021
2021-11-04,58500000,51950000,6550000,12.60827718960539,2021
2021-11-05,58750000,52150000,6600000,12.655800575263662,2021
2021-11-06,58750000,52350000,6400000,12.225405921680993,2021
2021-11-08,59000000,52350000,6650000,12.702960840496658,2021
2021-11-09,59300000,52550000,6750000,12.844909609895339,2021
2021-11-10,59400000,52550000,6850000,13.035204567078972,2021
2021-11-11,59550000,53150000,6400000,12.041392285983067,2021
2021-11-12,60700000,53300000,7400000,13.883677298311445,2021
2021-11-13,60850000,53600000,7250000,13.526119402985074,2021
2021-11-15,60800000,53650000,7150000,13.327120223671947,2021
